X,Y,Z,tempo,altura_mare,profundidade_corrigida
692807.6929,9272365.392,-0.5,12:00:00,0.1,-0.4
692808.1141,9272365.18,-0.5,12:00:01,0.4,-0.1
692807.2633,9272363.179,-0.5,12:00:02,0.2,-0.3
692808.111,9272364.283,-0.5,12:00:03,0.1,-0.4
692808.1161,9272365.76,-0.5,12:00:04,0.3,-0.2
692808.5432,9272367.235,-0.5,12:00:05,0.2,-0.3
692808.5432,9272367.235,-0.5,12:00:06,0.4,-0.1
692812.3433,9272368.118,-0.5,12:00:07,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:08,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:09,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:10,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:11,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:12,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:13,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:14,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:15,0.2,-0.3
692812.7665,9272368.486,-0.5,12:00:16,0.2,-0.3
692812.7665,9272368.486,-0.5,12:00:17,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:18,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:19,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:20,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:21,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:22,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:23,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:24,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:25,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:26,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:27,0.2,-0.3
692812.7665,9272368.486,-0.5,12:00:28,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:29,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:30,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:31,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:32,0.4,-0.1
692812.7665,9272368.486,-0.5,12:00:33,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:34,0.1,-0.4
692812.7665,9272368.486,-0.5,12:00:35,0.3,-0.2
692812.7665,9272368.486,-0.5,12:00:36,0.3,-0.2
692819.9189,9272362.766,-0.5,12:00:37,0.3,-0.2
692819.9189,9272362.766,-0.5,12:00:38,0.4,-0.1
692817.8112,9272363.3,-0.5,12:00:39,0.3,-0.2
692819.0777,9272363.507,-0.9,12:00:40,0.2,-0.7
692822.0322,9272363.866,-0.9,12:00:41,0.3,-0.6
692821.607,9272362.918,-0.9,12:00:42,0.2,-0.7
692820.7717,9272365.347,-0.9,12:00:43,0.3,-0.6
692822.0353,9272364.762,-0.9,12:00:44,0.4,-0.5
692821.6134,9272364.764,-0.9,12:00:45,0.4,-0.5
692821.6129,9272364.605,-1.1,12:00:46,0.1,-1.0
692820.3459,9272364.241,-1.1,12:00:47,0.3,-0.8
692819.4995,9272363.505,-1.1,12:00:48,0.4,-0.7
692819.4995,9272363.505,-1.2,12:00:49,0.2,-1.0
692819.0705,9272361.45,-1.2,12:00:50,0.4,-0.8
692818.6416,9272359.448,-1.4,12:00:51,0.3,-1.1
692819.0679,9272360.712,-1.4,12:00:52,0.2,-1.2
692818.6429,9272359.817,-1.6,12:00:53,0.3,-1.3
692817.3752,9272359.241,-1.6,12:00:54,0.4,-1.2
692816.1095,9272359.246,-1.7,12:00:55,0.2,-1.5
692814.8425,9272358.881,-1.7,12:00:56,0.2,-1.5
692813.9982,9272358.726,-1.8,12:00:57,0.4,-1.4
692813.9982,9272358.726,-1.8,12:00:58,0.1,-1.7
692811.4648,9272358.154,-1.9,12:00:59,0.2,-1.7
692810.1986,9272358.0,-1.9,12:01:00,0.2,-1.7
692809.7759,9272357.791,-1.9,12:01:01,0.4,-1.5
692808.9316,9272357.636,-1.9,12:01:02,0.2,-1.7
692808.5102,9272357.795,-1.9,12:01:03,0.2,-1.7
692808.0883,9272357.797,-1.9,12:01:04,0.2,-1.7
692807.2446,9272357.8,-1.9,12:01:05,0.2,-1.7
692806.8227,9272357.801,-1.9,12:01:06,0.3,-1.6
692806.8227,9272357.801,-1.9,12:01:07,0.4,-1.5
692804.7126,9272357.65,-2.0,12:01:08,0.2,-1.8
692804.2907,9272357.652,-2.0,12:01:09,0.2,-1.8
692804.7126,9272357.65,-2.0,12:01:10,0.4,-1.6
692804.7126,9272357.65,-2.0,12:01:11,0.3,-1.7
692804.7126,9272357.65,-2.0,12:01:12,0.4,-1.6
692804.7126,9272357.65,-2.0,12:01:13,0.3,-1.7
692804.7126,9272357.65,-2.0,12:01:14,0.4,-1.6
692804.7126,9272357.65,-2.0,12:01:15,0.4,-1.6
692804.7126,9272357.65,-1.9,12:01:16,0.2,-1.7
692803.447,9272357.655,-1.9,12:01:17,0.4,-1.5
692803.4475,9272357.813,-1.9,12:01:18,0.2,-1.7
692803.447,9272357.655,-1.9,12:01:19,0.1,-1.8
692803.447,9272357.655,-1.9,12:01:20,0.3,-1.6
692803.0251,9272357.656,-1.8,12:01:21,0.3,-1.5
692802.607,9272358.765,-1.8,12:01:22,0.2,-1.6
692803.0346,9272360.399,-1.5,12:01:23,0.4,-1.1
692803.0346,9272360.399,-1.5,12:01:24,0.4,-1.1
692800.5136,9272363.361,-1.5,12:01:25,0.2,-1.3
692800.0942,9272364.1,-1.5,12:01:26,0.1,-1.4
692799.6731,9272364.313,-1.5,12:01:27,0.2,-1.3
692798.4092,9272364.845,-1.5,12:01:28,0.3,-1.2
692797.1436,9272364.849,-1.7,12:01:29,0.3,-1.4
692795.4547,9272364.486,-1.7,12:01:30,0.2,-1.5
692794.1872,9272363.963,-1.8,12:01:31,0.2,-1.6
692792.4963,9272363.019,-1.8,12:01:32,0.2,-1.6
692792.4963,9272363.019,-1.8,12:01:33,0.2,-1.6
692787.4207,9272359.346,-1.9,12:01:34,0.2,-1.7
692786.1498,9272357.873,-1.9,12:01:35,0.4,-1.5
692785.3004,9272356.242,-2.1,12:01:36,0.4,-1.7
692784.0277,9272354.242,-2.1,12:01:37,0.2,-1.9
692784.8656,9272352.552,-1.8,12:01:38,0.2,-1.6
692784.0161,9272350.92,-1.8,12:01:39,0.4,-1.4
692784.8534,9272349.071,-2.2,12:01:40,0.2,-2.0
692784.8534,9272349.071,-2.2,12:01:41,0.3,-1.9
