tempo,altura_mare
12:00:00,1.71
12:00:01,4.63
12:00:02,2.30
12:00:03,1.65
12:00:04,3.11
12:00:05,2.86
12:00:06,4.22
12:00:07,3.82
12:00:08,1.70
12:00:09,3.01
12:00:10,4.09
12:00:11,3.71
12:00:12,4.46
12:00:13,4.89
12:00:14,4.40
12:00:15,2.68
12:00:16,1.89
12:00:17,1.59
12:00:18,1.62
12:00:19,3.18
12:00:20,1.62
12:00:21,3.22
12:00:22,4.71
12:00:23,5.28
12:00:24,4.20
12:00:25,1.69
12:00:26,3.23
12:00:27,2.19
12:00:28,3.02
12:00:29,4.93
12:00:30,4.69
12:00:31,4.17
12:00:32,4.80
12:00:33,3.62
12:00:34,1.59
12:00:35,4.14
12:00:36,3.50
12:00:37,3.49
12:00:38,4.34
12:00:39,4.18
12:00:40,1.85
12:00:41,4.01
12:00:42,2.38
12:00:43,3.34
12:00:44,4.67
12:00:45,4.91
12:00:46,1.65
12:00:47,3.65
12:00:48,4.68
12:00:49,2.33
12:00:50,4.69
12:00:51,3.21
12:00:52,2.99
12:00:53,3.43
12:00:54,4.78
12:00:55,2.38
12:00:56,2.40
12:00:57,4.42
12:00:58,1.68
12:00:59,2.16
12:01:00,2.63
12:01:01,4.57
12:01:02,2.36
12:01:03,2.78
12:01:04,2.78
12:01:05,2.03
12:01:06,3.44
12:01:07,4.41
12:01:08,1.84
12:01:09,2.04
12:01:10,4.99
12:01:11,3.93
12:01:12,4.86
12:01:13,4.16
12:01:14,4.53
12:01:15,4.66
12:01:16,2.08
12:01:17,5.10
12:01:18,2.64
12:01:19,1.69
12:01:20,3.45
12:01:21,3.27
12:01:22,2.50
12:01:23,4.66
12:01:24,4.46
12:01:25,2.34
12:01:26,1.71
12:01:27,2.10
12:01:28,3.31
12:01:29,3.05
12:01:30,2.01
12:01:31,2.02
12:01:32,2.96
12:01:33,2.18
12:01:34,2.97
12:01:35,5.21
12:01:36,4.62
12:01:37,2.09
12:01:38,2.36
12:01:39,4.65
12:01:40,2.91
12:01:41,3.35
12:01:42,2.01
12:01:43,1.84
12:01:44,3.61
12:01:45,2.34
12:01:46,3.96
12:01:47,3.07
12:01:48,3.85
12:01:49,3.50
12:01:50,1.84
12:01:51,4.07
12:01:52,4.74
12:01:53,3.63
12:01:54,3.52
12:01:55,4.74
12:01:56,2.15
12:01:57,4.11
12:01:58,4.89
12:01:59,3.68
12:02:00,2.37
12:02:01,3.84
12:02:02,3.68
12:02:03,2.36
12:02:04,2.47
12:02:05,1.93
12:02:06,4.80
12:02:07,3.41
12:02:08,3.17
12:02:09,1.93
12:02:10,3.64
12:02:11,3.03
12:02:12,4.43
12:02:13,2.24
12:02:14,4.41
12:02:15,5.14
12:02:16,2.64
12:02:17,5.04
12:02:18,3.77
12:02:19,2.57
12:02:20,3.51
12:02:21,4.12
12:02:22,1.99
12:02:23,2.30
12:02:24,3.94
12:02:25,3.29
