X,Y,Z,tempo
692807.6929,9272365.392,-0.5,12:00:00
692808.1141,9272365.18,-0.5,12:00:01
692807.2633,9272363.179,-0.5,12:00:02
692808.111,9272364.283,-0.5,12:00:03
692808.1161,9272365.76,-0.5,12:00:04
692808.5432,9272367.235,-0.5,12:00:05
692808.5432,9272367.235,-0.5,12:00:06
692812.3433,9272368.118,-0.5,12:00:07
692812.7665,9272368.486,-0.5,12:00:08
692812.7665,9272368.486,-0.5,12:00:09
692812.7665,9272368.486,-0.5,12:00:10
692812.7665,9272368.486,-0.5,12:00:11
692812.7665,9272368.486,-0.5,12:00:12
692812.7665,9272368.486,-0.5,12:00:13
692812.7665,9272368.486,-0.5,12:00:14
692812.7665,9272368.486,-0.5,12:00:15
692812.7665,9272368.486,-0.5,12:00:16
692812.7665,9272368.486,-0.5,12:00:17
692812.7665,9272368.486,-0.5,12:00:18
692812.7665,9272368.486,-0.5,12:00:19
692812.7665,9272368.486,-0.5,12:00:20
692812.7665,9272368.486,-0.5,12:00:21
692812.7665,9272368.486,-0.5,12:00:22
692812.7665,9272368.486,-0.5,12:00:23
692812.7665,9272368.486,-0.5,12:00:24
692812.7665,9272368.486,-0.5,12:00:25
692812.7665,9272368.486,-0.5,12:00:26
692812.7665,9272368.486,-0.5,12:00:27
692812.7665,9272368.486,-0.5,12:00:28
692812.7665,9272368.486,-0.5,12:00:29
692812.7665,9272368.486,-0.5,12:00:30
692812.7665,9272368.486,-0.5,12:00:31
692812.7665,9272368.486,-0.5,12:00:32
692812.7665,9272368.486,-0.5,12:00:33
692812.7665,9272368.486,-0.5,12:00:34
692812.7665,9272368.486,-0.5,12:00:35
692812.7665,9272368.486,-0.5,12:00:36
692819.9189,9272362.766,-0.5,12:00:37
692819.9189,9272362.766,-0.5,12:00:38
692817.8112,9272363.3,-0.5,12:00:39
692819.0777,9272363.507,-0.9,12:00:40
692822.0322,9272363.866,-0.9,12:00:41
692821.607,9272362.918,-0.9,12:00:42
692820.7717,9272365.347,-0.9,12:00:43
692822.0353,9272364.762,-0.9,12:00:44
692821.6134,9272364.764,-0.9,12:00:45
692821.6129,9272364.605,-1.1,12:00:46
692820.3459,9272364.241,-1.1,12:00:47
692819.4995,9272363.505,-1.1,12:00:48
692819.4995,9272363.505,-1.2,12:00:49
692819.0705,9272361.45,-1.2,12:00:50
692818.6416,9272359.448,-1.4,12:00:51
692819.0679,9272360.712,-1.4,12:00:52
692818.6429,9272359.817,-1.6,12:00:53
692817.3752,9272359.241,-1.6,12:00:54
692816.1095,9272359.246,-1.7,12:00:55
692814.8425,9272358.881,-1.7,12:00:56
692813.9982,9272358.726,-1.8,12:00:57
692813.9982,9272358.726,-1.8,12:00:58
692811.4648,9272358.154,-1.9,12:00:59
692810.1986,9272358.0,-1.9,12:01:00
692809.7759,9272357.791,-1.9,12:01:01
692808.9316,9272357.636,-1.9,12:01:02
692808.5102,9272357.795,-1.9,12:01:03
692808.0883,9272357.797,-1.9,12:01:04
692807.2446,9272357.8,-1.9,12:01:05
692806.8227,9272357.801,-1.9,12:01:06
692806.8227,9272357.801,-1.9,12:01:07
692804.7126,9272357.65,-2,12:01:08
692804.2907,9272357.652,-2,12:01:09
692804.7126,9272357.65,-2,12:01:10
692804.7126,9272357.65,-2,12:01:11
692804.7126,9272357.65,-2,12:01:12
692804.7126,9272357.65,-2,12:01:13
692804.7126,9272357.65,-2,12:01:14
692804.7126,9272357.65,-2,12:01:15
692804.7126,9272357.65,-1.9,12:01:16
692803.447,9272357.655,-1.9,12:01:17
692803.4475,9272357.813,-1.9,12:01:18
692803.447,9272357.655,-1.9,12:01:19
692803.447,9272357.655,-1.9,12:01:20
692803.0251,9272357.656,-1.8,12:01:21
692802.607,9272358.765,-1.8,12:01:22
692803.0346,9272360.399,-1.5,12:01:23
692803.0346,9272360.399,-1.5,12:01:24
692800.5136,9272363.361,-1.5,12:01:25
692800.0942,9272364.1,-1.5,12:01:26
692799.6731,9272364.313,-1.5,12:01:27
692798.4092,9272364.845,-1.5,12:01:28
692797.1436,9272364.849,-1.7,12:01:29
692795.4547,9272364.486,-1.7,12:01:30
692794.1872,9272363.963,-1.8,12:01:31
692792.4963,9272363.019,-1.8,12:01:32
692792.4963,9272363.019,-1.8,12:01:33
692787.4207,9272359.346,-1.9,12:01:34
692786.1498,9272357.873,-1.9,12:01:35
692785.3004,9272356.242,-2.1,12:01:36
692784.0277,9272354.242,-2.1,12:01:37
692784.8656,9272352.552,-1.8,12:01:38
692784.0161,9272350.92,-1.8,12:01:39
692784.8534,9272349.071,-2.2,12:01:40
692784.8534,9272349.071,-2.2,12:01:41
692786.1011,9272343.898,-2.6,12:01:42
692788.2054,9272342.415,-2.6,12:01:43
692789.8891,9272341.301,-2.9,12:01:44
692791.1509,9272340.189,-2.9,12:01:45
692791.9914,9272339.237,-3.6,12:01:46
692793.6759,9272338.335,-3.6,12:01:47
692794.5171,9272337.593,-3.6,12:01:48
692795.359,9272337.063,-3.7,12:01:49
692795.359,9272337.063,-3.7,12:01:50
692797.0402,9272335.212,-3.8,12:01:51
692797.8827,9272334.839,-3.8,12:01:52
692798.7257,9272334.626,-3.8,12:01:53
692799.1458,9272334.097,-3.8,12:01:54
692800.8313,9272333.511,-3.8,12:01:55
692801.6733,9272332.98,-3.8,12:01:56
692802.9364,9272332.238,-3.8,12:01:57
692804.6214,9272331.494,-3.8,12:01:58
692804.6214,9272331.494,-3.8,12:01:59
692810.0996,9272329.629,-3.8,12:02:00
692811.3627,9272328.886,-3.9,12:02:01
692812.6263,9272328.301,-3.9,12:02:02
692814.7332,9272327.556,-3.9,12:02:03
692815.1525,9272326.816,-3.9,12:02:04
692815.9932,9272325.917,-3.9,12:02:05
692816.8337,9272324.964,-3.9,12:02:06
692818.0962,9272324.063,-3.9,12:02:07
692818.0962,9272324.063,-3.9,12:02:08
692820.6166,9272320.89,-3.9,12:02:09
692822.299,9272319.408,-3.9,12:02:10
692823.9809,9272317.767,-3.9,12:02:11
692825.6633,9272316.285,-4,12:02:12
692827.767,9272314.643,-4,12:02:13
